country,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15
Finland,0.32857653,0.338211025,0.326056722,0.351291402,0.360288181,0.375374866,0.373721242,0.366867187,0.399222098,0.417550596,0.412276966,0.41212946
France,0.302539467,0.307811374,0.288869112,0.313825988,0.319049573,0.336546169,0.340134545,0.335609451,0.332934719,0.366685194,0.370073276,0.362408836
French Guiana,0.258476121,0.268788084,0.263840425,0.287849591,0.294307588,0.305244519,0.318837561,0.324201864,0.320191657,0.348263111,0.350919223,0.34649237
French Polynesia,0.228618708,0.2299251,0.229054172,0.239940777,0.259797945,0.290280439,0.310790803,0.323680543,0.3667915,0.386300296,0.376807176,0.372670267
Gabon,0.140959002,0.146449224,0.143233058,0.158501722,0.186082776,0.223377298,0.250958352,0.280098759,0.289357417,0.304918459,0.31040868,0.311383276
Gambia,0.094743202,0.10223565,0.104410876,0.115528701,0.140302115,0.163987915,0.233353474,0.276978852,0.315287009,0.345256798,0.405558912,0.411963746
Georgia,0.214905608,0.223576242,0.252685926,0.235344658,0.252654396,0.270303078,0.28571316,0.29637804,0.283955386,0.314633666,0.322106176,0.317156032
Germany,0.332174205,0.343135917,0.320979436,0.336972249,0.350447856,0.374904269,0.394134172,0.40473394,0.396834236,0.411926848,0.421506922,0.4207025
Ghana,0.213160016,0.226680157,0.219199835,0.240210588,0.255229537,0.272522422,0.284444292,0.296307856,0.31288049,0.326448648,0.330482054,0.319863495
Gibraltar,0.159752155,0.160695043,0.165678879,0.170393319,0.225350216,0.277613147,0.347521552,0.375134698,0.394127155,0.441271552,0.46012931,0.444773707
Greece,0.31291362,0.319625922,0.306521,0.331453131,0.334104967,0.352037591,0.37066438,0.355721542,0.35917106,0.39531032,0.396422609,0.386507401
Greenland,0.203025775,0.216660441,0.223757938,0.222637281,0.248225626,0.280351139,0.295480015,0.309114681,0.34441539,0.365894658,0.350205454,0.355995517
Grenada,0.230580762,0.243647913,0.229854809,0.265517241,0.258983666,0.275136116,0.295553539,0.30399274,0.339745917,0.35154265,0.358711434,0.338021779
Guadeloupe,0.271595079,0.279219668,0.267278915,0.286463978,0.300743445,0.313691936,0.321810887,0.325176354,0.331089689,0.351054323,0.358355675,0.353944441
Guam,0.225877276,0.237044328,0.221751145,0.238331378,0.269485559,0.287201423,0.309573381,0.325737215,0.363099519,0.358405572,0.362455994,0.354430859
Guatemala,0.116148966,0.133051253,0.144404112,0.157409581,0.234426393,0.296412162,0.338257942,0.386807407,0.404519923,0.402147108,0.411172164,0.397690846
Guernsey,0.271028813,0.285975255,0.266129702,0.295690443,0.308477954,0.330316366,0.330150295,0.346259238,0.362368181,0.368180686,0.358299427,0.351324421
Guinea,0.110779337,0.112819747,0.11610431,0.129342092,0.166815965,0.195381706,0.225390664,0.28272121,0.306409874,0.31168508,0.327261869,0.326913507
Guinea-Bissau,0.071695295,0.070948469,0.085884989,0.085138163,0.153846154,0.200149365,0.243465273,0.277819268,0.289768484,0.307692308,0.353995519,0.378640777
Guyana,0.080806903,0.086403918,0.088327892,0.096840019,0.170942164,0.233908582,0.270230877,0.308477146,0.341068097,0.388875933,0.405900187,0.414703825
Haiti,0.079483144,0.08582961,0.085068034,0.096237815,0.168562145,0.224537977,0.276096669,0.320648863,0.346567831,0.379518684,0.391627742,0.39876117
Honduras,0.103095234,0.110525295,0.117967866,0.12786836,0.194426203,0.259070242,0.312375306,0.343509016,0.371690714,0.39059109,0.421518409,0.428291774
Hong Kong SAR China,0.297345614,0.301943106,0.289845701,0.314446028,0.336732885,0.357821596,0.37132696,0.381173471,0.390131649,0.40412167,0.414373084,0.410071294
Hungary,0.308016026,0.312033779,0.296332732,0.315492381,0.328469148,0.353693964,0.355065914,0.347609178,0.353143222,0.374043384,0.3789384,0.376490191
Iceland,0.330383848,0.337323966,0.327198093,0.346149053,0.362358238,0.378388273,0.379930521,0.385437438,0.428815117,0.449689993,0.445779848,0.433558699
India,0.237439931,0.245530279,0.235013522,0.255167442,0.264001369,0.273446074,0.283362428,0.296566943,0.299551633,0.29854017,0.294260884,0.28145612
Indonesia,0.162538254,0.167765235,0.161135543,0.191279681,0.215172997,0.244589149,0.262026707,0.260285698,0.278300818,0.28878266,0.301622605,0.298717316
Iran,0.204949025,0.209624205,0.200920372,0.205130891,0.224831394,0.246878056,0.26331355,0.276185053,0.282607474,0.281085899,0.29238536,0.294309706
Iraq,0.1689702,0.17883471,0.185710929,0.188759387,0.201317083,0.232462059,0.240793745,0.278087208,0.274610419,0.268125285,0.262611416,0.251053637
Ireland,0.299910561,0.316494114,0.302998152,0.321884482,0.333019764,0.348560163,0.355264494,0.36408631,0.375770339,0.398242229,0.403228163,0.405459673
Isle of Man,0.246499932,0.258869104,0.251597118,0.268791627,0.286257986,0.310112818,0.339336686,0.364210956,0.365842055,0.377803452,0.37882289,0.366317793
Israel,0.351964534,0.355967414,0.344509331,0.352584667,0.364205346,0.379010631,0.395510694,0.400611662,0.392305668,0.379017438,0.39989246,0.400699388
Italy,0.319093904,0.330664419,0.321709655,0.346869129,0.360072616,0.382582135,0.39361524,0.392215805,0.378345089,0.429812491,0.449698016,0.44754879
