country,2014-12-01,2014-12-08,2014-12-15,2014-12-22,2014-12-29,2015-01-05,2015-01-12,2015-01-19,2015-01-26,2015-02-02,2015-02-09,2015-02-16,2015-02-23,2015-03-02,2015-03-09,2015-03-16,2015-03-23,2015-03-30,2015-04-06,2015-04-13,2015-04-20,2015-04-27,2015-05-04,2015-05-11,2015-05-18,2015-05-25,2015-06-01,2015-06-08,2015-06-15,2015-06-22,2015-06-29,2015-07-06,2015-07-13,2015-07-20,2015-07-27,2015-08-03,2015-08-10,2015-08-17,2015-08-24,2015-08-31,2015-09-07,2015-09-14,2015-09-21,2015-09-28,2015-10-05,2015-10-12,2015-10-19,2015-10-26,2015-11-02,2015-11-09,2015-11-16,2015-11-23
Singapore,5.543862846727801,6.405201753575717,6.5779927915407646,6.65996085480882,6.824711588428893,6.929317437077321,6.755028945363401,5.3202221413540505,6.649933880481099,6.859820979652426,6.84039157339465,6.860572263206074,6.776664925701763,6.627244600723366,6.82809555159683,6.556442466932429,6.329585345814867,5.945820151652104,6.140002371736203,6.090253205275492,6.109214192080871,5.929110486401272,5.727565481384972,5.8242570221824375,5.7678253469099525,5.804885529182903,5.9227755158653315,5.868740905712144,5.582500459516589,5.868948884869398,5.925338075531696,5.539015023155994,5.769505452107137,6.059520937988317,6.138255239627945,6.2045809774570175,5.936492982067508,6.234785708587612,6.039031716172383,6.468592484091606,6.576437127803152,6.641719455182044,6.723697328998535,6.846705797372316,6.8925158329137375,6.506867021303988,6.565446043445031,6.429095034927009,5.977429048973019,6.224048006281196,6.035817750855938,5.331139073056269
Sint Maarten,2.773809523809524,4.0813953488372094,4.218390804597702,3.781609195402299,4.375,3.6463414634146334,3.732394366197183,3.8607594936708862,4.6716417910447765,3.7142857142857135,4.243589743589744,3.1571428571428566,3.8382352941176467,3.5342465753424657,3.753846153846154,3.4264705882352944,4.075471698113208,2.8823529411764706,3.7115384615384617,3.647058823529412,3.618181818181818,4.446808510638298,3.276595744680851,2.936170212765957,3.2407407407407414,3.3809523809523814,3.0192307692307687,3.628571428571429,4.048780487804878,3.8125,3.1785714285714284,2.9090909090909087,3.4838709677419355,3.363636363636364,3.633333333333333,3.3870967741935485,3.75,3.0,2.32,3.6666666666666665,3.7222222222222223,2.65,2.727272727272727,3.0,2.1739130434782608,2.2105263157894743,2.65,1.4705882352941178,3.9538461538461536,4.131147540983608,4.928571428571429,2.8378378378378377
Slovakia,4.680686157177865,5.76662525669954,6.269192751235585,6.29698041692988,6.236051612903227,6.247917967936707,6.227653558150496,6.288884317708467,6.362200532386867,6.3255891908617405,6.4117691361433975,6.378987200325072,6.418429040917188,5.8662780382714494,5.922709594840742,6.2318104507228576,6.234965595249316,5.958002668726738,5.817010549901969,6.097055240109423,6.122735768511896,5.886407568280536,5.864072705297168,5.7354430087145465,5.731593053897611,5.670815113801996,5.636060883228969,5.515611510791367,5.4396276845165525,5.339513077417358,5.4738862747852135,5.464033751318411,5.442338625078677,5.542099088529916,5.618570012220147,5.540177590223746,5.886628611729442,5.5439302197569535,5.96025944610316,6.046910684525646,6.236852230615014,6.189659342874419,6.266851111794241,6.14211059347782,6.290931587770416,6.224279053012867,5.945388005984876,6.292887113288231,6.080343055948865,6.350312638986997,5.9551127994418165,4.191253394311849
Slovenia,4.439087135312116,5.684303261329945,5.795057989468975,5.705821347206638,5.721401550812208,5.726375127526759,5.56793822338737,5.54003677848994,5.5393208852493725,5.680131080891631,5.610266590050323,5.611575461283709,5.634231675211308,5.5505240873651065,5.3996200345423135,5.520676968359088,5.304055891752227,4.711157849323195,5.425895578643769,5.386754199652443,5.492582025677604,5.3494890740449605,5.376899696048632,5.279135030635631,5.2922492009875945,4.794412583975094,5.1719432223790145,5.0311582039446066,4.9056028368794315,4.753391873897866,4.820110635260528,4.84883273825872,4.918070352446262,5.11545365535248,5.243328560270762,5.409646656070424,5.368993452447009,5.372154878552102,5.407090652254023,5.4605858248596135,5.540148009750544,5.606687851237239,5.549586588095565,5.433362046818091,5.70762531079431,5.738061582851231,5.7376875707294115,5.766320441988951,5.580786150134809,5.581349520541919,5.365681267089718,4.463823160773292
Solomon Islands,4.2898550724637685,5.317073170731708,5.8901098901098905,5.982142857142858,5.4851485148514865,5.876288659793816,4.878787878787879,4.452991452991453,5.783505154639175,5.9896907216494855,6.479591836734693,6.3644859813084125,6.152542372881356,5.267241379310344,5.175,4.905109489051094,4.868263473053892,4.1988304093567255,4.625,4.613924050632911,4.572368421052632,4.119318181818182,4.844827586206896,3.829545454545455,4.744292237442922,5.210810810810812,5.070707070707072,4.837988826815644,5.029850746268656,4.463414634146342,5.097938144329897,4.7537688442211055,4.497512437810945,4.208888888888889,4.88646288209607,4.650717703349282,4.714932126696833,4.547085201793722,4.57421875,4.609561752988047,4.9444444444444455,5.222222222222221,5.340996168582375,5.510288065843621,5.5436507936507935,5.423868312757202,4.798353909465019,5.079497907949791,4.706896551724138,5.797752808988763,6.068965517241379,4.46875
Somalia,3.11991199119912,3.451206715634837,3.6289999999999996,3.624513618677043,3.580348943985308,3.611842105263158,3.4141689373297,3.3169203222918533,3.256756756756757,3.312717770034843,3.206645056726094,3.364433811802233,3.2944832944832947,3.273591806876372,3.2043539325842696,3.1874251497005988,3.1387778412335807,3.2543383947939266,3.098086124401913,3.1056834194457483,3.1925722145804687,3.048637316561845,2.9768445839874413,2.826723142087024,2.8126394052044614,2.8198801550934087,2.8176691729323307,2.7082317073170734,2.7353971962616823,2.761787953120741,2.83799664241746,2.764341502827902,2.835690408845461,2.8411214953271027,2.708010980783629,2.6892382103990324,2.7443167929601566,2.8157521286660363,2.6824165491302305,2.7488010961406717,2.8284568192543653,2.7835873388042205,2.754275005856172,2.8972313467855466,2.919727891156463,2.8874915787109816,2.8989853438556934,2.8920302760463046,2.5964735516372794,3.5651189127972818,3.643086816720257,3.311036789297659
South Africa,3.7743196450098755,5.019251686285865,5.521203092230738,5.687636021703665,5.730085055638642,5.6611176742009475,5.682215942978384,5.7907938311373925,5.879196804144866,5.819481905868827,5.747606619848996,5.7117550042856315,5.6516524826884975,5.072069872521063,5.126605702987426,5.3617810239483115,5.403878984635191,4.7681352663331245,5.381384099982368,5.357412400345408,5.37912963085254,5.389819105410148,5.301287852954523,5.185725038282851,4.815501765880395,5.303343510874892,5.2853772265698495,5.263376918703809,5.2070754260263366,5.314908496792528,5.411676123251076,5.316555729948331,5.11156887224303,5.46273916299638,5.524963297508713,5.493792152053954,5.502690914823459,5.5692284617491445,5.05213851364666,5.6122027784040664,5.601796169407321,5.6991211125508086,5.781430842184961,5.8167216621235625,5.804101098853884,5.725631333267244,5.703372996275151,5.702235884978701,5.2275146735049365,5.4420939782679785,4.618747904039784,3.629603395744903
South Korea,4.985732663187586,5.651282627314978,5.6619170035122135,5.635771972819427,5.7183362977305485,5.825356592329353,5.726120055552697,4.301363108445688,5.749736198047589,6.124901848030101,6.073008477427168,6.067600473790045,6.083437979241215,6.107834425460928,5.997319568477063,5.763201651422702,5.673476577139287,5.093446610133263,4.8167521057646105,5.160524223869373,5.189795972361244,4.94881996792555,5.106081706089838,5.116819297735568,5.049307001561687,5.04762248224641,5.119271099986727,5.088311688311689,4.961367513872059,4.913692136355773,4.773781055260399,4.779716085369762,4.785088913351403,5.019592488981342,5.132314808610352,5.319446695951636,5.423054331572523,5.4035168174919805,5.130745791194663,4.906776912119948,5.37887796065837,5.7200650138957165,5.698526966647656,5.698644427452862,5.722530515161719,5.701859321660503,5.7828109921879065,5.886570207906356,5.727465599670223,6.0416419592030355,5.800093713347748,5.124656480813597
South Sudan,2.015625,2.084183673469388,2.030150753768844,2.1746411483253594,1.963718820861678,1.9544364508393288,1.9558441558441562,1.9792147806004616,2.0127226463104324,2.135678391959799,2.0739030023094687,2.037313432835821,1.8774038461538465,2.0638297872340425,1.911917098445596,2.0611620795107037,1.8575851393188851,1.836805555555556,1.8966789667896682,1.9288537549407117,1.79296875,1.891891891891892,1.85546875,1.7991266375545851,1.7451923076923077,1.7830687830687832,1.7649769585253456,1.763819095477387,1.6984924623115578,1.702020202020202,1.819148936170213,1.7738693467336684,1.913793103448276,1.7627118644067796,1.5483870967741935,1.5731707317073171,1.6126760563380282,1.7111111111111108,1.6589147286821706,1.686131386861314,1.5038167938931295,1.5365853658536586,1.5877192982456139,1.663716814159292,1.490909090909091,1.6346153846153846,1.9494949494949492,1.603305785123967,2.0843373493975905,1.9033078880407124,1.8079625292740047,1.9656160458452725
Spain,4.378815797304567,4.98923747621904,5.6188886833857365,5.539595705790285,5.561910815068358,5.561105492047397,5.482853364489581,5.527865816636308,5.577039762279631,5.619498127048897,5.571849409057808,5.404915753883983,5.436004634546684,4.630870954198191,5.389543548094887,5.510626812661953,5.422113397468673,5.233410402094714,5.548655126899867,5.457519862552909,5.566484582507035,5.487011185078652,5.3674313056496885,5.39805979012162,5.311544500733898,5.135370206732666,5.199505914290455,5.122123559377761,5.02047067156282,4.903034469202903,4.849930074401271,4.581708213998321,4.396266016458107,4.442527717798621,4.6890705758651015,5.117840668295444,5.13377450142605,5.285694949849369,5.308308981771951,5.485803096957655,5.452208391622486,5.3464764517999965,5.634676687028947,5.6252726316644655,5.576427611945911,5.630809858997884,5.680262577456576,5.70493203705303,5.468302795125616,5.427752155256126,5.385785788410512,4.329803386968897
Sri Lanka,4.028478814540404,3.9774107758479174,4.227185476786934,4.278636055887241,4.389704716292937,4.0364817749603805,4.415554802329524,4.209625575536443,4.523101898101898,4.323399932272266,4.428519494683269,4.402815822803452,4.392486508924865,4.211579657833729,4.208578835729437,3.4568192978148784,4.143779435889295,3.898936457377314,3.9370973380612297,4.084435554444306,4.118147230804587,4.013780616607152,3.8788381742738585,4.027646302094712,3.9846932768162016,4.044185550898629,3.9078790150645455,4.0591564261295385,4.02556733949139,4.08537709340227,3.906696799188267,4.078831035909497,4.063497056576641,3.843113394627727,4.010458892298045,4.150766463989038,4.13287305412623,4.159489391213888,4.057653161730908,4.152318022410401,4.245449029126212,4.1856952949637165,4.207565898312562,4.049404045926736,4.2772559969539286,4.2172835846179915,4.2782577163456414,4.1181464833995625,3.9492088970419625,4.281901715432621,4.219237168032533,3.749849769646792
Sudan,2.6690466190676188,2.8666180758017488,2.862117837618951,2.8660052114652235,2.845802285146548,2.8528680783378064,2.8218058600757425,2.827724282581752,2.9314015375517446,2.8579106811296784,2.9213202840145844,2.892356443249472,2.9115370090634443,2.8662790697674416,2.897127295089168,2.8605094569859677,2.7490361273739827,2.766792194453954,2.7465453095934094,2.6978761978761985,2.7511730969760166,2.7248040137974288,2.7052889024763065,2.7513705457263895,2.6043102912862555,2.543447037701975,2.4827729348277288,2.4199269384869195,2.326496124934444,2.538339313172732,2.624699535281235,2.6678711384803298,2.636940048456106,2.658557556139996,2.655750151852602,2.631631984682824,2.6812747035573117,2.6039906787066704,2.328618351345624,2.611654718077892,2.7176224930801727,2.663950629188564,2.6478005582827997,2.7280391879798405,2.7745731094848614,2.761495063469676,2.656644533807164,2.6670831019803813,2.4806533575317604,2.8564679415073115,2.831790787774429,2.7643973453222013
Suriname,5.755741127348642,7.143796580447173,7.255355612682091,7.236217133163698,7.226076055160887,7.4231578947368435,7.361213612136122,7.1661937576003245,7.108285479901558,6.987770077456176,7.45061975209916,7.4299249901302815,7.440671350507415,6.8416633346661335,6.783863804589193,6.312161348585191,6.214042069357589,5.786760563380282,6.115628299894404,5.872345934748834,5.945075257459731,5.574249807642985,5.557291666666668,5.533776301218162,5.4291163382072485,5.640911969601014,5.147904191616767,5.468118195956454,5.067847719562759,5.309718100890208,5.339766933721777,5.401318198462101,5.069273938968783,5.1143607705779335,5.217117117117117,5.122246696035242,4.9784236804564905,5.08937960042061,4.88238434163701,5.322829131652661,5.367584924792968,5.442730554643912,5.207402576226968,5.307754053620164,5.320805158043718,5.114276719660003,5.558453802639849,5.105912108757509,5.673146708138933,7.321231617647059,6.976519337016574,5.5759840558046845
Swaziland,3.0329670329670333,3.6804222648752405,4.151615575807789,4.510534846029174,4.262578616352202,4.304166666666666,4.1688311688311686,4.193729903536977,4.5113821138211385,4.36319612590799,4.111791730474732,4.106531881804044,4.431087289433385,3.936698717948718,3.8931591083781703,4.173913043478262,3.90224358974359,3.9079365079365083,4.022238163558106,3.773343373493976,4.1376604850213985,3.9443609022556387,3.8659259259259264,3.8944649446494464,4.0578947368421066,3.9936034115138592,3.986004198740378,3.879648411088573,4.150995195607413,4.124557678697806,4.39622641509434,4.1910187667560335,4.226879574184964,4.1388343156516045,4.055177111716621,3.830110497237569,3.953346855983773,4.542168674698795,3.9760438056125937,4.2606951871657746,4.175962815405047,4.444369521240729,4.2236147757255935,4.331578947368421,4.170991350632069,4.355044699872287,4.563612392880684,4.455273698264351,4.084321475625823,4.380738073807382,4.153070577451879,2.8350515463917527
Sweden,4.326400075932747,5.3265562438835445,5.807643824473809,5.838463393072409,5.924901783351972,5.909365883102511,5.901448994841418,5.887560179802972,5.883605785401951,5.946300801534071,5.864628087112459,5.8693100086134145,5.843105175438214,5.224229557657653,5.413258559152244,5.755549004791283,5.74167472724058,5.430533208211639,5.815096526421849,5.390730926970368,5.8181017752446325,5.686286637322781,5.4319842573996295,5.212063461002622,4.781924362957952,5.142600141582651,4.892207258509552,4.677974110304883,4.359097885092361,4.261753285294419,4.391688240193438,4.7112113054265965,5.057007096058444,5.265818591667644,5.462285443005958,5.608400085393133,5.686419406463206,5.748274542645508,5.803426512019319,5.864941921276169,5.9834352715430965,5.994296459250719,6.019719785158718,5.7688461119717,6.026343388117606,5.983828725458054,5.999988857897336,6.031890288497592,5.706115581780219,5.787861937028162,5.547801952156063,3.979563664736068
Switzerland,5.019661231031381,6.312048948041923,6.350845104966264,6.242564775731469,6.175605971427043,6.071809126077737,5.9716340524245455,6.194011126143247,6.335439664429011,6.440714221439499,6.4003820651174035,6.397769981208269,6.428216696394223,5.886301422678027,5.782732971122817,6.113952357113846,6.159758093831254,6.190417951360862,6.194039599736951,5.831558830928733,6.200602955425812,5.934965170404962,5.842185067807429,5.884997627571927,5.771450957681465,5.633090741878862,5.4665405920887045,5.361155369471971,5.2486126793285015,5.123196956663961,5.1898679331550746,5.264957264957265,5.462735424186084,5.549126502810546,5.611504657781566,5.707581984818847,5.644996447946268,5.827204351966425,5.8373007929786755,5.886769758784587,5.954919394884907,6.029714499872843,6.1007737135961255,6.197384241422568,6.229208879908071,6.272786738632732,6.321783476939049,6.395842222052469,6.103014819008825,6.4147013418833865,6.054423485374214,4.710172002834503
Syrian Arab Republic,3.4195313429285115,3.364772791260769,3.4311503416856493,3.3974445570190253,3.3789988492520138,3.4967203339296367,3.4624429624429625,3.2400312274801824,3.3089934986756564,3.4182386229662813,3.497976381881688,3.402852737085582,3.5285293784671117,3.510985666057889,3.5932869330938484,3.568626388512598,3.5878080275476165,3.4789588528678306,3.516125791218728,3.4833635517224484,3.629415227629513,3.6419747331126753,3.5607177632494085,3.6198313009993583,3.494591892383203,3.5412173277280203,3.5134866488953147,3.448371611445783,2.9350094152374173,3.045790841831633,3.185951940850277,3.24071164275939,3.3575235752357524,3.31170778906628,3.3160522837421063,3.226196448279322,3.2035104117983066,3.253155680224404,3.009546264880097,3.3536787564766835,3.403143183965783,3.3724338728780103,3.4187562688064195,3.448790322580645,3.3958131222874646,3.4054261581776295,3.4170293379755265,3.51839762611276,3.1318028082402383,3.5409227160172034,3.45906395862243,3.3343769183548186
Taiwan,5.0790976480833585,6.013616904610269,5.910643163355421,5.788366817164151,5.7645523692426375,5.6942321979367945,5.527084987088942,4.09445723053318,5.151677047655571,5.779203043807984,5.678084573457572,5.723863986287829,5.722960895361763,5.368415395163446,5.546849472058587,5.673425478938308,5.634438192285254,5.499309706351916,5.634414821988869,5.641226336941048,5.657994548219258,5.619718030995207,5.6177028609604145,5.5813339539832425,5.302220768121361,5.611525534772498,5.576501882044016,5.4287284820895865,5.4904572063250185,5.432633358646671,5.432867153907592,5.392392459826113,5.456721098175424,5.4855813790811965,5.520545908100736,5.687240143656401,5.636588846274222,5.613137835768732,5.51947381762874,5.328472189857751,5.560060287937702,5.867309199931516,5.894766836651526,5.893582811196373,5.9028506219960235,5.847033539878926,5.878593069361331,5.886999037294706,5.756206126571053,5.836738758409064,5.7421013123053015,5.8561516993140135
Tajikistan,2.6879588839941264,3.2293080054274084,3.245879120879121,3.2107409925220938,3.297131147540984,3.2580424366872007,3.082798459563543,2.589135802469136,3.313494809688581,3.288981288981289,3.366120218579235,3.2241742796907937,2.9220519653564287,3.1787954830614806,3.380548302872062,3.2668571428571433,3.1274675690919347,2.99284140969163,2.9979002624671915,3.0146673651126243,3.0494565217391303,2.9798657718120807,2.958104738154613,2.794438927507448,2.8675821481118198,2.8068128791413907,2.6867469879518078,2.7277486910994764,2.4640963855421685,2.5764331210191083,2.7093023255813957,2.6597671410090555,2.5652777777777778,2.6890428757037683,2.641135972461273,2.630849220103986,2.631423757371525,2.741686942416869,2.6734091866835232,2.80319803198032,2.9813432835820897,2.93543179983858,2.86616478460895,3.0179092044981264,2.681037771842808,2.9502846299810246,2.8890577507598785,2.8564885496183208,2.964084145715752,3.426957223567393,3.2204261572373256,3.0474308300395263
Tanzania,3.8191473668682696,4.38007043172036,4.373192909007654,4.432358376346142,4.489276649746193,4.531816403703222,4.466735899266567,4.464178127046496,4.511675516601625,4.520392359318534,4.463679097461611,4.501225189904435,4.410547838114137,4.087521346669919,4.025403893360736,4.326420010422095,4.27455957760065,4.065910016286645,4.139999026432362,4.135943499075698,4.194577428070342,4.070589294557241,4.1305728270935305,4.095561197688672,4.1003976984261294,4.091301310761392,4.183280536470975,4.070665157802087,4.053436654962264,4.150158845055697,4.15544513457557,4.114800607368337,4.166479370685504,4.088940146213691,4.082523510971787,4.114673101229461,4.0914401343921805,4.176231343283583,4.078626674212413,4.18417217800695,4.247825595843217,4.1004458228338825,4.191186839012926,4.1532407956657575,4.202360941320293,4.252765988319367,4.294573928387619,4.254532502226181,3.9129703690238142,4.265233465699028,4.241767822412983,3.606527375324081
